data_spec,model,period,start,end,n_obs,status,warning,n_transform,parameter,mean,ci_2.5,ci_97.5
unemployment_gap,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.6419937108895869,0.5393777317472813,0.7375876466407546
unemployment_gap,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.09130556408105864,0.010745903413617914,0.17861771344060226
unemployment_gap,hsa_steady,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,0.028687493231885484,-3.492084715902889e-05,0.05644403812763058
unemployment_gap,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6266027224161234,0.5061841182702699,0.7457157266351
unemployment_gap,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.007855516056364082,-0.082723242913629,0.1017446091390202
unemployment_gap,hsa_steady,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,0.007464224618884813,-0.02414102239520301,0.04045042378432465
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6401323117738358,0.5393163631498151,0.74001538691914
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.08972369097197251,0.010809521535388777,0.17590271096232005
unemployment_gap,hsa_steady,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,0.029070456350388393,0.0012634038106581155,0.05620209810622891
unemployment_gap,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.5936115153258136,0.47425056574922836,0.7084600184511747
unemployment_gap,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa,0.08492384514261406,-0.011310956026870038,0.1913031656299331
unemployment_gap,hsa_dynamic,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta,0.23691456015844295,-0.2657595559417033,0.6190738089076531
unemployment_gap,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6326832416854656,0.5034191340439095,0.7530064776041807
unemployment_gap,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa,0.1802884459937905,0.07451645136534604,0.290392856747024
unemployment_gap,hsa_dynamic,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta,0.29225776132869635,-0.16920858326165336,0.6799591342350985
unemployment_gap,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5877977302555601,0.36513169496188547,0.8121650177379176
unemployment_gap,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa,-0.022202548601811204,-0.13340450676897367,0.08601982813473585
unemployment_gap,hsa_dynamic,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta,0.15808195440982176,-0.3597373216363018,0.622820782520744
unemployment_gap,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.5936581149430205,0.47590678274321646,0.7107808080377603
unemployment_gap,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa,0.08091907782987859,-0.013620708960374756,0.18972853549149385
unemployment_gap,hsa_dynamic,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta,0.21995920897043772,-0.2847281236591341,0.627207184650478
unemployment_gap,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6157479025849761,0.49214541772355797,0.7356166102402888
unemployment_gap,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa,0.0001902926148351569,-0.07418263375013989,0.08386339805013691
unemployment_gap,hsa_dynamic,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta,0.15598825215522286,-0.25221530113418555,0.55498204287562
unemployment_gap,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.6005577203877154,0.48357675228266955,0.7129287957141253
unemployment_gap,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa,0.07589357177238476,-0.022388002190870063,0.18695527978687224
unemployment_gap,hsa_dynamic,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta,0.1742908438762958,-0.3031335509741859,0.6026131199599222
unemployment_gap,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,alpha,0.612574584986336,0.4844765000879516,0.7309282335526145
unemployment_gap,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,kappa_0,0.07655548852776327,-0.011378184522843709,0.17381192196604825
unemployment_gap,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,delta,0.018312380744689615,-0.02627132635618266,0.052034101229142704
unemployment_gap,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,theta_0,0.11979513542604851,-0.20576324825060813,0.4939318388535386
unemployment_gap,hsa_full,full,1913-03-31,2025-09-30,451,estimated,,log100_centered10,gamma,-0.005873539206777412,-0.04433133364781093,0.03460463999953125
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,alpha,0.6139639916320274,0.48691226231077583,0.7424260281940499
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,kappa_0,0.1777725189490424,0.052310243520047726,0.31148606925577493
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,delta,0.0014710354174716877,-0.03453737635823498,0.036715403739723554
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,theta_0,0.2594829653474821,0.01870006365919086,0.5257871343114222
unemployment_gap,hsa_full,pre_2008,1913-03-31,2007-09-30,379,estimated,,log100_centered10,gamma,-4.996412881449488e-05,-0.039741498470988006,0.03788661047725177
unemployment_gap,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,alpha,0.5743940762246064,0.32382392870376747,0.8025614629972936
unemployment_gap,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,kappa_0,-0.021758949911020772,-0.14729917123063616,0.10867479036929222
unemployment_gap,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,delta,0.0011393136605696182,-0.03874117950418151,0.0412471803946329
unemployment_gap,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,theta_0,0.10394630259397647,-0.3071038617573579,0.5091249072221757
unemployment_gap,hsa_full,post_2008,2009-03-31,2025-09-30,67,estimated,,log100_centered10,gamma,-0.0004710051535364214,-0.039762190975784095,0.03825144533812473
unemployment_gap,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,alpha,0.5939059459509589,0.46520423476882417,0.7152429153345635
unemployment_gap,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,kappa_0,0.0919338654264476,-0.006594436344064755,0.18909849803904794
unemployment_gap,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,delta,0.011456689707650245,-0.0342498416616907,0.051869921544907646
unemployment_gap,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,theta_0,0.2128310225821091,-0.10054795400250541,0.5311927538845431
unemployment_gap,hsa_full,exclude_covid,1913-03-31,2025-09-30,444,estimated,,log100_centered10,gamma,-0.0035636282419922345,-0.04252126306780539,0.034858407309056524
unemployment_gap,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,alpha,0.6080781492940679,0.47623395602381996,0.7312437515971043
unemployment_gap,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,kappa_0,0.014531137175871366,-0.08138991526338081,0.11260118389174824
unemployment_gap,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,delta,0.0053201763493027675,-0.029955463772330954,0.037200750491821775
unemployment_gap,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,theta_0,0.15197025695648406,-0.21097952410128312,0.5322000356517239
unemployment_gap,hsa_full,start_1988,1988-03-31,2025-09-30,151,estimated,,log100_centered10,gamma,-0.0007336888761885465,-0.03946025617098813,0.038438787329261155
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,alpha,0.5858283046658744,0.4682738957739393,0.6983049974940589
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,kappa_0,0.09705115693975921,0.007813832536801511,0.1905000225954126
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,delta,0.007806203284210052,-0.03243032240163189,0.047606627188531
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,theta_0,0.2787343966347171,-0.06755438060232447,0.5703075701330699
unemployment_gap,hsa_full,end_2019,1913-03-31,2019-09-30,427,estimated,,log100_centered10,gamma,-0.0025400549349974253,-0.041954058115332434,0.0379751535689421
